PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
75957 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75976 CEDEX 20,Paris 20,Paris 20,48.8646,2.3984,1,French Restaurant,Bar,Bakery,Japanese Restaurant,Bistro,Italian Restaurant,Chinese Restaurant,Park,Plaza,Korean Restaurant
75988 CEDEX 20,Paris 20,Paris 20,48.8646,2.3984,1,French Restaurant,Bar,Bakery,Japanese Restaurant,Bistro,Italian Restaurant,Chinese Restaurant,Park,Plaza,Korean Restaurant
75002,Paris,Paris,48.8534,2.3488,1,French Restaurant,Plaza,Bakery,Bookstore,Comic Shop,Mexican Restaurant,Japanese Restaurant,Pub,Ice Cream Shop,Coffee Shop
75007,Paris,Paris,48.8534,2.3488,1,French Restaurant,Plaza,Bakery,Bookstore,Comic Shop,Mexican Restaurant,Japanese Restaurant,Pub,Ice Cream Shop,Coffee Shop
75014,Paris,Paris,48.8534,2.3488,1,French Restaurant,Plaza,Bakery,Bookstore,Comic Shop,Mexican Restaurant,Japanese Restaurant,Pub,Ice Cream Shop,Coffee Shop
75015,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75016,Paris,Paris,48.8534,2.3488,1,French Restaurant,Plaza,Bakery,Bookstore,Comic Shop,Mexican Restaurant,Japanese Restaurant,Pub,Ice Cream Shop,Coffee Shop
75017,Paris 17,Paris 17,48.8835,2.3219,0,Wine Bar,French Restaurant,Bar,Thai Restaurant,Restaurant,Bookstore,Korean Restaurant,Italian Restaurant,Pizza Place,Gym / Fitness Center
75024 CEDEX 01,Paris 01,Paris 01,48.8592,2.3417,1,French Restaurant,Pizza Place,Plaza,Wine Bar,Café,Exhibit,Clothing Store,Bar,Bakery,Restaurant
75040 CEDEX 01,Paris 01,Paris 01,48.8592,2.3417,1,French Restaurant,Pizza Place,Plaza,Wine Bar,Café,Exhibit,Clothing Store,Bar,Bakery,Restaurant
75045 CEDEX 01,Paris 01,Paris 01,48.8592,2.3417,1,French Restaurant,Pizza Place,Plaza,Wine Bar,Café,Exhibit,Clothing Store,Bar,Bakery,Restaurant
75062 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75077 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
