PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
75909 CEDEX 15,Paris 15,Paris 15,48.8412,2.3003,3,French Restaurant,Hotel,Italian Restaurant,Park,Japanese Restaurant,Supermarket,Bar,Lebanese Restaurant,Coffee Shop,Gym / Fitness Center
75916 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75925 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75939 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75956 CEDEX 19,Paris 19,Paris 19,48.8817,2.3822,4,French Restaurant,Italian Restaurant,Bar,Restaurant,Pool,Park,Scenic Lookout,Seafood Restaurant,Martial Arts Dojo,Moroccan Restaurant
75971 CEDEX 20,Paris 20,Paris 20,48.8646,2.3984,1,French Restaurant,Bar,Bakery,Japanese Restaurant,Bistro,Italian Restaurant,Chinese Restaurant,Park,Plaza,Korean Restaurant
75979 CEDEX 20,Paris 20,Paris 20,48.8646,2.3984,1,French Restaurant,Bar,Bakery,Japanese Restaurant,Bistro,Italian Restaurant,Chinese Restaurant,Park,Plaza,Korean Restaurant
75980 CEDEX 20,Paris 20,Paris 20,48.8646,2.3984,1,French Restaurant,Bar,Bakery,Japanese Restaurant,Bistro,Italian Restaurant,Chinese Restaurant,Park,Plaza,Korean Restaurant
75991 CEDEX 20,Paris 20,Paris 20,48.8646,2.3984,1,French Restaurant,Bar,Bakery,Japanese Restaurant,Bistro,Italian Restaurant,Chinese Restaurant,Park,Plaza,Korean Restaurant
75001,Paris,Paris,48.8534,2.3488,1,French Restaurant,Plaza,Bakery,Bookstore,Comic Shop,Mexican Restaurant,Japanese Restaurant,Pub,Ice Cream Shop,Coffee Shop
75003,Paris 03,Paris 03,48.8637,2.3615,1,Wine Bar,Vietnamese Restaurant,Bistro,Sandwich Place,Burger Joint,Cocktail Bar,Japanese Restaurant,Bookstore,Café,Art Gallery
75005,Paris,Paris,48.8534,2.3488,1,French Restaurant,Plaza,Bakery,Bookstore,Comic Shop,Mexican Restaurant,Japanese Restaurant,Pub,Ice Cream Shop,Coffee Shop
75009,Paris 09,Paris 09,48.8718,2.3399,1,French Restaurant,Pizza Place,Bistro,Japanese Restaurant,Hotel,Wine Bar,Cheese Shop,Fish & Chips Shop,Seafood Restaurant,Fast Food Restaurant
75011,Paris 11,Paris 11,48.8574,2.3795,1,French Restaurant,Bistro,Café,Cocktail Bar,Bar,Pastry Shop,Italian Restaurant,Wine Bar,Plaza,Pub
75013,Paris 13,Paris 13,48.8322,2.3561,3,Hotel,French Restaurant,Thai Restaurant,Vietnamese Restaurant,Indian Restaurant,Bar,Asian Restaurant,Bakery,Italian Restaurant,Gaming Cafe
75019,Paris,Paris,48.8534,2.3488,1,French Restaurant,Plaza,Bakery,Bookstore,Comic Shop,Mexican Restaurant,Japanese Restaurant,Pub,Ice Cream Shop,Coffee Shop
75041 CEDEX 01,Paris 01,Paris 01,48.8592,2.3417,1,French Restaurant,Pizza Place,Plaza,Wine Bar,Café,Exhibit,Clothing Store,Bar,Bakery,Restaurant
75052 CEDEX 01,Paris 01,Paris 01,48.8592,2.3417,1,French Restaurant,Pizza Place,Plaza,Wine Bar,Café,Exhibit,Clothing Store,Bar,Bakery,Restaurant
75055 CEDEX 01,Paris 01,Paris 01,48.8592,2.3417,1,French Restaurant,Pizza Place,Plaza,Wine Bar,Café,Exhibit,Clothing Store,Bar,Bakery,Restaurant
75067 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75089 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
75120 CEDEX 02,Paris 02,Paris 02,48.8655,2.3426,4,French Restaurant,Italian Restaurant,Bakery,Bistro,Restaurant,Spa,Pizza Place,Perfume Shop,Salad Place,Cheese Shop
