sep=;
country code;postal code;place name;admin name1;admin code1;admin name2;admin code2;admin name3;admin code3;latitude;longitude;accuracy;coordinates,,
DE;10997;Berlin Kreuzberg;Berlin;BE;;00;Berlin, Stadt;11000;52.5009;13.4356;6;52.5009,13.4356
DE;12347;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4509;13.4281;6;52.4509,13.4281
DE;12619;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5235;13.5883;6;52.5235,13.5883
DE;12681;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5369;13.5367;6;52.5369,13.5367
DE;13055;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5401;13.496;6;52.5401,13.496
DE;13057;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5711;13.5415;6;52.5711,13.5415
DE;13469;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.6119;13.3422;6;52.6119,13.3422
DE;14167;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4212;13.2765;6;52.4212,13.2765
DE;15537;Gosen;Berlin;BE;;00;Berlin, Stadt;11000;52.4;13.7167;4;52.4,13.7167
DE;10317;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4979;13.4908;6;52.4979,13.4908
DE;10407;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5336;13.4492;6;52.5336,13.4492
DE;10629;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5028;13.3086;6;52.5028,13.3086
DE;10711;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4981;13.2905;6;52.4981,13.2905
DE;12043;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4799;13.4371;6;52.4799,13.4371
DE;12055;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4712;13.4486;6;52.4712,13.4486
DE;12101;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4785;13.3791;6;52.4785,13.3791
DE;12205;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.434;13.2945;6;52.434,13.2945
DE;12209;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4179;13.3291;6;52.4179,13.3291
DE;12349;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.4253;13.4221;6;52.4253,13.4221
DE;12529;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5167;13.4;4;52.5167,13.4
DE;13407;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5727;13.3512;6;52.5727,13.3512
DE;13507;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5765;13.2717;6;52.5765,13.2717
DE;14059;Berlin;Berlin;BE;;00;Berlin, Stadt;11000;52.5205;13.2878;6;52.5205,13.2878
